timestamp,open,high,low,close,volume,bid_volume,ask_volume,delta
1764312660000,91345.1,91356.0,91317.9,91324.0,131.61,"[9.480999999999998, 7.378999999999996, 19.310000000000016, 21.364999999999988, 40.70600000000005]","[5.593999999999996, 12.470000000000002, 9.256999999999996, 2.255999999999997, 3.7919999999999967]",-64.87200000000004
1764312840000,91323.9,91354.1,91323.9,91329.0,46.474,"[9.586999999999994, 8.535999999999992, 1.2409999999999999, 3.644999999999997, 6.290999999999997]","[5.456999999999996, 5.540999999999995, 0.4720000000000001, 2.5340000000000003, 3.169999999999996]",-12.125999999999994
1764313020000,91329.0,91329.0,91252.7,91255.3,169.938,"[20.042000000000012, 39.458000000000034, 33.011999999999986, 33.00500000000001, 18.310999999999996]","[3.7669999999999977, 17.715000000000007, 3.2389999999999985, 0, 1.0790000000000002]",-118.02800000000002
1764313200000,91255.3,91359.1,91252.9,91342.0,125.66,"[12.155000000000019, 1.8079999999999987, 1.7620000000000002, 4.711999999999996, 27.24399999999996]","[16.097999999999992, 10.396000000000004, 11.830000000000025, 20.642999999999997, 19.00899999999999]",30.29500000000003
1764313380000,91342.0,91378.6,91341.9,91378.5,66.496,"[1.3259999999999998, 8.867000000000003, 9.092000000000004, 4.6919999999999975, 1.911]","[3.704999999999999, 10.641, 13.194000000000015, 5.949999999999996, 7.117999999999999]",14.720000000000006
1764313560000,91378.5,91380.0,91360.9,91379.9,61.048,"[1.1379999999999997, 5.552999999999998, 5.440999999999996, 0.894, 17.178000000000004]","[0.7320000000000001, 1.6500000000000004, 4.026999999999998, 0.24300000000000005, 24.192]",0.6400000000000006
1764313740000,91380.0,91385.0,91379.9,91380.0,48.775,"[3.5639999999999987, 0.057000000000000016, 0.026999999999999996, 0.6130000000000001, 26.04]","[9.076999999999996, 0.156, 0.12700000000000003, 0.133, 8.980999999999991]",-11.827000000000009
1764313920000,91380.1,91380.1,91349.9,91359.9,59.072,"[7.390999999999996, 13.284, 14.112999999999996, 4.444, 7.527999999999999]","[2.3139999999999987, 6.394999999999987, 3.4159999999999937, 0.14200000000000002, 0.045]",-34.44800000000002
1764314100000,91359.9,91385.0,91335.7,91363.1,118.226,"[3.520999999999998, 4.233999999999998, 4.359999999999996, 5.511999999999996, 29.21299999999999]","[2.3959999999999972, 6.210999999999999, 22.076999999999998, 12.397000000000011, 28.30500000000001]",24.546000000000035
1764314280000,91363.0,91373.7,91350.3,91373.7,42.841,"[8.679999999999998, 10.917000000000002, 6.148999999999995, 0.23, 1.0990000000000002]","[6.279999999999996, 3.988999999999998, 3.1529999999999987, 0.8090000000000003, 1.5349999999999997]",-11.309000000000001
1764314460000,91373.7,91487.3,91373.6,91483.5,159.33,"[13.617999999999995, 0.10400000000000001, 0.518, 6.198999999999999, 26.229999999999983]","[26.078, 7.481999999999995, 11.047, 25.11500000000001, 39.687000000000104]",62.74000000000013
1764314640000,91483.5,91529.9,91460.0,91470.2,234.252,"[8.964999999999996, 16.182000000000006, 30.986999999999984, 20.70700000000002, 5.842999999999995]","[16.45200000000001, 10.964000000000002, 62.6700000000001, 42.855000000000054, 18.627000000000002]",68.88400000000019
1764314820000,91470.2,91470.3,91420.3,91439.7,125.834,"[6.013999999999997, 3.935999999999996, 14.803000000000004, 14.493000000000022, 9.385000000000007]","[11.930999999999996, 8.490000000000004, 18.438, 32.170999999999985, 5.781999999999995]",28.180999999999948
